TEAM,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"NE","PIT","@BUF","JAX","BYE","@DAL","@IND","NYJ","MIA","WSH","@NYG","BUF","@DEN","PHI","@HOU","TEN","@NYJ","@MIA"
"HOU","KC","@CAR","TB","@ATL","IND","@JAX","@MIA","TEN","BYE","@CIN","NYJ","NO","@BUF","NE","@IND","@TEN","JAX"
"SEA","@STL","@GB","CHI","DET","@CIN","CAR","@SF","@DAL","BYE","ARI","SF","PIT","@MIN","@BAL","CLE","STL","@ARI"
"CHI","GB","ARI","@SEA","OAK","@KC","@DET","BYE","MIN","@SD","@STL","DEN","@GB","SF","WSH","@MIN","@TB","DET"
"OAK","CIN","BAL","@CLE","@CHI","DEN","BYE","@SD","NYJ","@PIT","MIN","@DET","@TEN","KC","@DEN","GB","SD","@KC"
"GB","@CHI","SEA","KC","@SF","STL","SD","BYE","@DEN","@CAR","DET","@MIN","CHI","@DET","DAL","@OAK","@ARI","MIN"
"SF","MIN","@PIT","@ARI","GB","@NYG","BAL","SEA","@STL","ATL","BYE","@SEA","ARI","@CHI","@CLE","CIN","@DET","STL"
"ARI","NO","@CHI","SF","STL","@DET","@PIT","BAL","@CLE","BYE","@SEA","CIN","@SF","@STL","MIN","@PHI","GB","SEA"
"MIN","@SF","DET","SD","@DEN","BYE","KC","@DET","@CHI","STL","@OAK","GB","@ATL","SEA","@ARI","CHI","NYG","@GB"
"KC","@HOU","DEN","@GB","@CIN","CHI","@MIN","PIT","DET","BYE","@DEN","@SD","BUF","@OAK","SD","@BAL","CLE","OAK"
"CIN","@OAK","SD","@BAL","KC","SEA","@BUF","BYE","@PIT","CLE","HOU","@ARI","STL","@CLE","PIT","@SF","@DEN","BAL"
"BAL","@DEN","@OAK","CIN","@PIT","CLE","@SF","@ARI","SD","BYE","JAX","STL","@CLE","@MIA","SEA","KC","PIT","@CIN"
"NYG","@DAL","ATL","WSH","@BUF","SF","@PHI","DAL","@NO","@TB","NE","BYE","@WSH","NYJ","@MIA","CAR","@MIN","PHI"
"PIT","@NE","SF","@STL","BAL","@SD","ARI","@KC","CIN","OAK","CLE","BYE","@SEA","IND","@CIN","DEN","@BAL","@CLE"
"CAR","@JAX","HOU","NO","@TB","BYE","@SEA","PHI","IND","GB","@TEN","WSH","@DAL","@NO","ATL","@NYG","@ATL","TB"
"DAL","NYG","@PHI","ATL","@NO","NE","BYE","@NYG","SEA","PHI","@TB","@MIA","CAR","@WSH","@GB","NYJ","@BUF","WSH"
"BUF","IND","NE","@MIA","NYG","@TEN","CIN","@JAX","BYE","MIA","@NYJ","@NE","@KC","HOU","@PHI","@WSH","DAL","NYJ"
"NO","@ARI","TB","@CAR","DAL","@PHI","ATL","@IND","NYG","TEN","@WSH","BYE","@HOU","CAR","@TB","DET","JAX","@ATL"
"TB","TEN","@NO","@HOU","CAR","JAX","BYE","@WSH","@ATL","NYG","DAL","@PHI","@IND","ATL","NO","@STL","CHI","@CAR"
"NYJ","CLE","@IND","PHI","@MIA","BYE","WSH","@NE","@OAK","JAX","BUF","@HOU","MIA","@NYG","TEN","@DAL","NE","@BUF"
"IND","@BUF","NYJ","@TEN","JAX","@HOU","NE","NO","@CAR","DEN","BYE","@ATL","TB","@PIT","@JAX","HOU","@MIA","TEN"
"WSH","MIA","STL","@NYG","PHI","@ATL","@NYJ","TB","BYE","@NE","NO","@CAR","NYG","DAL","@CHI","BUF","@PHI","@DAL"
"DET","@SD","@MIN","DEN","@SEA","ARI","CHI","MIN","@KC","BYE","@GB","OAK","PHI","GB","@STL","@NO","SF","@CHI"
"JAX","CAR","MIA","@NE","@IND","@TB","HOU","BUF","BYE","@NYJ","@BAL","TEN","SD","@TEN","IND","ATL","@NO","@HOU"
"PHI","@ATL","DAL","@NYJ","@WSH","NO","NYG","@CAR","BYE","@DAL","MIA","TB","@DET","@NE","BUF","ARI","WSH","@NYG"
"SD","DET","@CIN","@MIN","CLE","PIT","@GB","OAK","@BAL","CHI","BYE","KC","@JAX","DEN","@KC","MIA","@OAK","@DEN"
"STL","SEA","@WSH","PIT","@ARI","@GB","BYE","CLE","SF","@MIN","CHI","@BAL","@CIN","ARI","DET","TB","@SEA","@SF"
"CLE","@NYJ","TEN","OAK","@SD","@BAL","DEN","@STL","ARI","@CIN","@PIT","BYE","BAL","CIN","SF","@SEA","@KC","PIT"
"ATL","PHI","@NYG","@DAL","HOU","WSH","@NO","@TEN","TB","@SF","BYE","IND","MIN","@TB","@CAR","@JAX","CAR","NO"
"DEN","BAL","@KC","@DET","MIN","@OAK","@CLE","BYE","GB","@IND","KC","@CHI","NE","@SD","OAK","@PIT","CIN","SD"
"TEN","@TB","@CLE","IND","BYE","BUF","MIA","ATL","@HOU","@NO","CAR","@JAX","OAK","JAX","@NYJ","@NE","HOU","@IND"
"MIA","@WSH","@JAX","BUF","NYJ","BYE","@TEN","HOU","@NE","@BUF","@PHI","DAL","@NYJ","BAL","NYG","@SD","IND","NE"
